Start_Time,End_Time
2018-05-08 11:25:00,2018-05-08 11:25:00
2019-11-14 04:15:00,2018-04-30 06:00:00
2018-05-17 02:40:00,2018-04-29 09:45:00
2018-04-30 11:55:00,2018-04-27 23:20:00
2018-06-21 16:05:00,2018-02-23 13:45:00
2018-09-20 22:50:00,2018-04-29 06:30:00
2019-03-18 14:55:00,2018-03-20 00:05:00
2018-05-20 08:40:00,2018-03-17 09:00:00
2019-03-09 19:15:00,2018-05-20 17:05:00
2019-03-17 00:40:00,2018-04-28 16:15:00
2019-03-18 12:20:00,2018-05-16 14:05:00
2019-03-18 14:50:00,2018-05-16 18:45:00
2018-05-17 20:05:00,2018-04-29 13:35:00
2018-08-01 00:10:00,2018-05-16 21:15:00
2018-05-17 09:30:00,2018-05-17 09:30:00
2018-08-29 08:40:00,2018-03-15 19:55:00
2018-03-19 19:10:00,2018-03-19 19:10:00
2019-04-14 19:35:00,2018-04-30 05:55:00
2018-05-21 16:25:00,2018-05-21 16:25:00
2018-08-29 08:20:00,2018-04-25 06:30:00
2018-05-16 17:55:00,2018-05-16 17:55:00
2019-04-15 02:05:00,2018-04-28 20:30:00
2018-05-17 15:30:00,2018-05-17 15:30:00
2018-11-04 14:50:00,2018-11-04 14:50:00
2019-04-06 19:00:00,2018-03-20 04:20:00
2019-03-17 06:05:00,2018-04-29 21:45:00
2018-06-21 17:05:00,2018-05-17 00:40:00
2019-05-19 01:45:00,2018-04-25 02:50:00
2018-05-16 15:45:00,2018-05-16 15:45:00
2019-03-17 15:50:00,2018-03-19 23:35:00
2018-06-21 14:30:00,2018-05-05 13:00:00
2018-07-08 22:25:00,2017-11-16 21:55:00
2018-05-04 16:20:00,2017-09-19 23:10:00
2018-04-30 03:30:00,2018-04-30 03:30:00
2019-03-09 20:55:00,2019-03-09 20:55:00
2019-03-10 10:45:00,2018-04-30 06:30:00
2019-03-16 23:05:00,2019-03-16 23:05:00
2019-04-15 01:10:00,2018-04-28 12:35:00
2018-06-20 02:30:00,2018-06-20 02:30:00
2019-03-17 00:25:00,2017-07-31 13:00:00
2018-06-21 10:50:00,2018-06-21 10:50:00
2019-03-10 08:00:00,2019-03-10 08:00:00
